id,designation,appmag,absmag,b-v; interpret as bprp,ra,dec,ly,parallax,parsec,from earth X,from earth Y,from earth Z,galactic l,galactic b
13,Del CMa,1.84,-6.622519810433936,+0.68,107.09791666666666,-26.393333333333334,1606.6798029556653,2.03,492.61083743842374,-129.73372250591044,421.7606222045862,-218.9807661968166,238.28815290277657,-8.436977947244415
14,Eps CMa,1.5,-5.947274948966939,-0.21,104.65625000000001,-28.97222222222222,1006.6543209876543,3.24,308.641975308642,-68.31947386401384,261.23085107879797,-149.50170854545973,239.7145441327848,-11.494672731466261
15,Bet CMa,1.98,-3.9157100528015003,-0.23,95.67499999999998,-17.95583333333333,492.6827794561933,6.62,151.05740181268882,-14.209862330266084,142.99576546660523,-46.568546397484184,225.9446778713787,-14.481154861289797
16,Alp Ori,0.5,-5.418793500041085,+1.85,88.79291666666666,7.406944444444445,497.94809160305346,6.55,152.67175572519085,3.189348951702555,151.36419590125433,19.681799934033407,199.63913801889342,-9.229181620717721
17,Eps Ori,1.7,-7.212580278930468,-0.19,84.05333333333333,-1.2019444444444445,1976.7030303030303,1.65,606.0606060606061,62.77568462342683,602.6666183057066,-12.712939021837947,205.08125529710043,-17.50422510566687
18,Zet Ori,2.05,-4.717981368884653,-0.21,85.18958333333333,-1.9427777777777777,736.2437923250563,4.43,225.73363431151242,18.918917811041457,224.80921844906172,-7.652679835504061,206.3219735626145,-16.84582906231991
19,Bet Eri,2.79,-4.322541000813874,+0.13,76.9625,-5.086388888888888,862.8465608465608,3.78,264.55026455026456,59.44454930249934,256.7159492605826,-23.45441167617887,205.22192057930033,-25.577082555565813
20,Alp Per,1.79,-4.165570663200938,+0.48,51.08083333333333,49.861111111111114,506.45341614906823,6.44,155.27950310559004,62.885028108730666,77.88094562038015,118.70870075002293,146.39582416951097,-6.075859445006198
21,Alp UMi,2.02,-3.59314327065113,+0.60,37.95291666666666,89.26416666666667,432.5676392572944,7.54,132.6259946949602,1.3430255608385353,1.0475103910430439,132.61505749028353,123.25217957394301,26.3351750906668
22,Alp Sco,1.84,-4.309423526064492,0.91,247.35208333333335,-26.432000000000002,553.7453310696095,5.89,169.77928692699493,-58.542208186964245,-140.30777215887764,-75.57476564201498,351.7674639547074,15.338959108552901
23,Bet Ori,-0.03,-7.142541000813874,0.13,78.63458333333332,-8.201666666666666,862.8465608465608,3.78,264.55026455026456,51.60054192539339,256.7097747688961,-37.74013890704842,209.13337879132789,-25.500074892053014
24,* 1 Gem,3.885,0.49919636343160567,1.068,91.03006433333333,23.263344472222222,155.0908226343319,21.03,47.551117451260104,-0.7853304019365233,43.67811628583112,18.78068648225461,186.83524525021116,0.4361421147718215
25,* 10 Tau,4.045,3.326740936875699,1.044,54.21826543507,0.4016644716191667,45.40223004858221,71.837,13.920403134874787,8.139046968725813,11.29265313307881,0.09758634265255556,184.9620613417761,-41.942789347477245
26,* 13 Cet,5.074,3.4367981388163784,0.72,8.811998666666666,-3.5928435277777777,69.3211477151966,47.05,21.253985122210416,20.961829646535886,3.249557774689467,-1.3318992881243992,112.14342418982208,-66.22580187692071
27,* 13 Tri,5.754,3.259508652897749,0.757,37.202060356815416,29.93175793283778,102.87826742495213,31.7031,31.54265671180421,21.772954868615237,16.527806336855647,15.738781605301146,146.63379592014027,-28.584991414602985
28,* 14 Ari,4.892,1.2827487028887803,0.5,32.35552076885083,25.939837865719724,171.89990302314794,18.9736,52.70481089513851,40.0366283136404,25.36444006888578,23.05451506233909,143.80004431129714,-33.913293287762954
29,* 15 Eri,4.592,-1.1566685446673883,1.117,49.59212561311833,-22.51110428428361,460.4251955165306,7.0838,141.1671701629069,84.53560407598769,99.30134508823919,-54.04761270377628,213.2898656934565,-56.70485241124721
30,* 15 Lyn,4.095,0.4060685273820841,1.044,104.31918858666667,58.42276123194444,178.3247676325861,18.29,54.67468562055768,-7.080937580795145,27.74080529112927,46.57927964753592,157.6733874293594,23.352971750635547
31,* 21 Ari,5.456,1.9150634373355953,0.681,33.92823591666667,25.043045194444446,166.57609805924415,19.58,51.07252298263535,38.39293863331885,25.82645705509617,21.618949625069725,145.79187610330374,-34.22473145051097
32,* 35 Ari,4.619,-1.764707030436739,-0.103,40.8629761644,27.70714940929,616.831832967698,5.2876,189.1217187381799,126.62804095291618,109.54550680407935,87.93262012442946,151.04352516346893,-29.151794056075662
33,* 41 Ari,3.545,0.016228580690591077,-0.061,42.49597183583333,27.260507227222224,165.64550533265614,19.69,50.78720162519045,33.28758213692821,30.498144181278203,23.262414446763085,152.73885203573616,-28.836874192098104
34,* 42 Peg,3.362,-0.6228355649264463,-0.041,340.36550299,10.831363310277778,204.3583959899749,15.96,62.65664160401002,57.96213774327664,-20.678720454881947,11.774372410945366,78.47727071410205,-40.57732043059983
35,* 47 Cas,5.187,2.5841566859886824,0.48,31.280934280416673,77.281340055,108.1419098143236,30.16,33.15649867374005,6.23869498749799,3.790343156735374,32.34293412646544,126.97373718023988,14.86231675905359
36,* 50 Hya,4.659,0.4883511630397077,1.428,213.19176228805958,-27.261185588730278,222.61536676427025,14.6511,68.2542607722287,-50.773865493453876,-33.21506154614411,-31.26369112727912,324.0594367038089,32.41839877305615
37,* 55 Leo,5.828,2.5368240944715277,0.595,163.92665044107414,0.7369192708186111,148.4774681677266,21.9667,45.5234514059918,-43.74023239632701,12.602932107232778,0.5854913573086983,251.14787911565162,51.57379591545756
38,* 93 Leo,4.381,0.11474006815319981,0.73,176.99639979166665,20.218930555555556,232.63623395149784,14.02,71.32667617689016,-66.8394993881008,3.5071211731564342,24.65108835463094,234.11096025006617,73.74127641403213
39,* 97 Aqr,5.157,1.080457154087994,0.325,350.66321304166667,-15.039340138888889,213.1738562091503,15.3,65.359477124183,62.28453755883463,-10.24055088605614,-16.959621121322698,58.13887526404735,-65.91322482414388
40,* 132 Tau,4.53,-1.4551740849352282,1.264,87.25404562437998,24.56746075119,513.4051127062082,6.3528,157.410905427528,6.85849373470243,142.99648870449238,65.44584348445052,183.97296716674146,-1.892295114823351
41,* alf And,2.01,-0.3570114544827394,-0.079,2.0969161666666665,29.09043111111111,97.01249256395003,33.62,29.744199881023203,25.974665968524928,0.9510478507315395,14.461316066369362,111.40525134629827,-32.915438002914335
42,* alf Aql,0.696,2.145616197620023,0.34,297.69582729166666,8.868321194444444,16.730238522698127,194.95,5.12952038984355,2.355584846327645,-4.4875220115163446,0.7907879979669538,47.559881003892414,-8.697372936610028
43,* alf Ara,2.896,-1.672200846626259,-0.153,262.9603813675,-49.87614501138889,267.34098360655736,12.2,81.9672131147541,-6.4737708824313165,-52.42491920968581,-62.676488113320595,340.61221357858125,-8.573087270124095
44,* alf Ari,1.589,0.06465648852012951,1.428,31.79335708333333,23.462417555555554,65.81033091202582,49.56,20.177562550443906,15.732058532623265,9.75176455048559,8.033645060312562,144.2876707924835,-36.41112388143872
45,* alf Aur,-0.153,-0.7432251433019972,0.984,79.17232795833334,45.997991472222225,42.802624671916,76.2,13.123359580052492,1.7126020448981376,8.954276675713885,9.439835280233048,162.44201416015258,4.31102749426244
46,* alf Boo,-0.514,-0.7712016894551923,1.515,213.91530029166665,19.18240916666667,36.71687492964089,88.83,11.257458065968706,-8.82344993669907,-5.932533071586791,3.698938317428132,15.003222371299723,69.39443434347048
47,* alf CMa,-1.507,1.3873989071428474,0.056,101.28715533333335,-16.71611586111111,8.600933519685661,379.21,2.637061258933045,-0.49433092171060766,2.4767741588973844,-0.7584977185360741,227.0982604160912,-9.100209497772491
48,* alf CMi,0.268,2.538869260888619,0.595,114.82549791666668,5.224987555555556,11.461765532752318,284.56,3.5141973573235874,-1.469326072782617,3.1762000342856536,0.3200270305225967,213.51287345433428,12.770453535904478
49,* alf Car,-0.796,-5.679737701831443,0.243,95.98795783333334,-52.69566138888889,309.1526066350711,10.55,94.7867298578199,-5.99266845818651,57.13193720738209,-75.395980216596,261.1766213731167,-25.36292150946919
50,* alf Cen A,-0.185,4.169944068802877,0.886,219.90205833333334,-60.83399269444445,4.38971736204576,743.0,1.3458950201884252,-0.5031767498569926,-0.4207517813325202,-1.1752508252610872,315.57332653941995,-0.5000710226397392
51,* alf Cen B,1.061,5.415944068802877,1.081,219.89609629166665,-60.83752755555556,4.38971736204576,743.0,1.3458950201884252,-0.5031649003941666,-0.4206529132255767,-1.1752912894147414,315.5692468038431,-0.5021435760637593
52,* alf Cep,2.396,1.510108226515523,0.34,319.64488470833334,62.58557447222223,49.04601503759398,66.5,15.037593984962406,5.276144983178959,-4.483229056784967,13.348864528395364,100.891215890116,9.15115782196399
53,* alf Cet,1.77,-2.6453017672462216,2.948,45.56988779166666,4.089738777777778,249.1642475171887,13.09,76.39419404125287,53.34271516893528,54.41454934625544,5.448342964826048,173.095385457999,-45.86429694745554
54,* alf Com,4.21,2.9548143062808068,0.627,197.49702166666665,17.529455249999998,58.13832442067736,56.1,17.825311942959,-16.211111778696083,-5.110417470094902,5.368913674456559,326.7904014394545,79.71138577541586
55,* alf Dor,3.231,-0.33671765126508557,-0.066,68.499071625,-55.04497897222222,168.64322647362977,19.34,51.70630816959669,10.857774453089615,27.56275656372587,-42.378597063422504,263.9096020872158,-41.47323530718029
56,* alf Eri,0.407,-2.7478488909542342,-0.14,24.428522833333332,-57.236752805555554,139.44249679350148,23.39,42.75331338178709,21.065512286005035,9.568387683967634,-35.951856063056916,291.1201472363956,-58.72043883580359
57,* alf Gem,1.532,0.5669675684105366,0.103,113.649471625,31.888282222222223,50.866500311915146,64.12,15.595757953836554,-5.311914245216344,12.129931880088744,8.238688353769097,187.28157196760665,22.19820204485964
58,* alf Gru,1.659,-0.7956597749141914,-0.103,332.0582697083333,-46.96097438888889,101.00836172189531,32.29,30.96934035305048,18.67246988879844,-9.90398291973324,-22.63515037459722,349.93859035959133,-52.20716991616293
59,* alf Hya,1.356,-2.356807165700931,1.923,141.8968445833333,-8.658599527777778,180.2962962962963,18.09,55.279159756771705,-43.003464329160174,33.72284771375828,-8.322085146164099,241.1982016231209,28.88415089393056
60,* alf Hyi,2.765,1.3263413200685332,0.44,29.692244097588336,-61.56982215319751,63.264067097665205,51.5547,19.396873611911236,8.0220909996687,4.574280815757598,-17.057570663142066,289.65080590784214,-53.69510541330453
61,* alf Leo,1.347,-0.5822064524541244,-0.14,152.09296245833335,11.967208777777778,79.29880865548262,41.13,24.313153415998055,-21.018770163079996,11.132171609990735,5.041377302602171,226.0591011230138,48.7165002312419
62,* alf Lyr,-0.017,0.5565552027918114,0.056,279.23473479166665,38.78368894444444,25.04461337633418,130.23,7.678722260615834,0.9605810004066894,-5.9081097138385825,4.809812814089652,67.38036582535756,19.375761591930413
63,* alf Mus,2.596,-2.3313973062103814,-0.147,189.29590786916665,-69.13556478861112,315.43133462282395,10.34,96.71179883945841,-33.992332321590666,-5.5639650465842205,-90.36999320052426,301.5198909853759,-6.177798632640524
64,* alf Oph,2.014,1.1485832359246018,0.243,263.7336227083333,12.56003738888889,48.585729182183826,67.13,14.896469536719799,-1.5870531931543408,-14.453103525139735,3.2394236080069883,35.79513205236251,22.81590675388173
65,* alf Pav,1.867,-1.8278758300380131,-0.1,306.41190437500006,-56.73508972222222,178.81359649122805,18.24,54.824561403508774,17.850242023613855,-24.200950395228368,-45.84119754929195,340.8268123724759,-34.94077007819978
66,* alf Peg,2.433,-0.6247177364986665,0.008,346.19022270833335,15.205267138888889,133.34260016353227,24.46,40.883074407195416,38.31144292907536,-9.41712534971105,10.722726510748448,87.89208321262605,-40.340619958192775
67,* alf Pic,3.165,0.8082982261749496,0.354,102.04772966666665,-61.94138911111111,96.55298993487268,33.78,29.603315571343988,-2.9064419217012474,13.617942300722992,-26.12394563741347,271.8798640841736,-24.11895771421504
68,* alf PsA,1.109,1.6755407495919337,0.163,344.41269270833334,-29.62223702777778,25.125645173715426,129.81,7.7035667514059005,6.4504431900987855,-1.7994558350218628,-3.807713492698791,20.186343645961063,-64.64139770788708
69,* alf Sex,4.443,-1.1363664794675277,0.008,151.98451569501,-0.37167036848999996,425.8912015878405,7.6582,130.57898722937506,-115.27540553602083,61.332987063954,-0.8470431913882941,240.74014400211092,41.901820506890765
70,* alf Tau,0.179,-1.3726801749211481,2.549,68.98016279166666,16.50930236111111,66.6440539436044,48.94,20.43318348998774,7.027045672306575,18.287152878290414,5.806518428530096,180.8052860031409,-20.52428499580837
71,* alf Tri,3.302,1.853898625049337,0.66,28.2704392446475,29.57881866972972,63.5397712883053,51.331,19.48140499892852,14.921664070339075,8.024560496224668,9.616418821300348,138.36203147533655,-31.590888169120333
72,* alf UMa,1.422,-1.4584954073579166,1.323,165.9319646666667,61.75103469444444,122.89223813112282,26.54,37.67897513187641,-17.29873120319062,4.334882723044734,33.191382278021635,142.93489429059767,50.80341513506544
73,* alf Vir,0.91,-3.5102841153047244,-0.227,201.29824737500002,-11.161319472222223,249.73660030627872,13.06,76.5696784073507,-69.99082514937204,-27.28581606117094,-14.82175051035075,315.67989560380045,51.02646966923272
74,* alf02 Lib,2.694,0.8628567304127777,0.243,222.719637875,-16.04177652777778,75.7973506855682,43.03,23.239600278875205,-16.408875997302378,-15.152091289032333,-6.42198872592291,340.0662448514418,38.26432129579552
75,* bet And,1.346,-2.563949785078183,2.681,17.433016166666665,35.62055763888889,197.43099273607749,16.52,60.53268765133172,46.946366479671845,14.74181399958156,35.25512542385536,126.8309949684873,-27.243478993190443
76,* bet Ari,2.596,1.3213739579102874,0.216,28.660045791666665,20.808031472222222,58.66115107913668,55.6,17.985611510791365,14.752660428655064,8.063479688651295,6.389172638504444,141.929296493727,-39.87946245004052
77,* bet Aur,1.852,-0.12632963448544454,0.091,89.88217886833333,44.94743257194444,81.11315593136035,40.21,24.86943546381497,0.03619505736119935,17.601435952443396,17.569204951241062,167.31775211083428,10.144823355400462
78,* bet CMi,2.841,-0.6354705089361721,-0.054,111.78767390541668,8.2893157625,161.7035200793257,20.17,49.578582052553294,-18.209735904437512,45.5560081831871,7.1478272954646185,209.33790906851846,11.42096533542401
79,* bet Car,1.643,-1.0585301176101474,0.056,138.29990608333333,-69.71720758333333,113.17002081887577,28.82,34.698126301179734,-8.980732307459819,8.001567018466481,-32.54660260738988,285.88546381570524,-14.358796277492306
80,* bet Cas,2.186,1.061502494395124,0.502,2.2945215833333332,59.14978111111111,54.74253105068815,59.58,16.784155756965426,8.599939381005182,0.3445856277569643,14.409378468978291,117.35984824570471,-3.3771694914697483
81,* bet Cet,1.675,-0.6765652311354178,1.246,10.89737875,-17.986606305555558,96.3248670998228,33.86,29.533372711163615,27.58350171272618,5.310436482215935,-9.11974787638813,109.54019407581464,-80.74887851474719
82,* bet Cru,1.19,-3.4672155246381844,-0.227,191.93028654166665,-59.688772,278.527754056362,11.71,85.39709649871904,-42.168683396191135,-8.909618210908949,-73.72302852148142,302.28441454747593,3.3046384002068296
83,* bet Del,3.523,1.0710285230577803,0.616,309.3872554166667,14.59508875,100.88339004021033,32.33,30.93102381688834,18.994181843696367,-23.134385112900393,7.794197578809625,58.66446757602612,-15.478777034693522
84,* bet Gem,0.81,0.7335364724133662,1.234,116.32895779166665,28.02619888888889,33.78454526621089,96.54,10.358400662937642,-4.055452622259968,8.195154669528975,4.867156075682098,192.059230453792,23.126487972516777
85,* bet Gru,1.366,-2.3063733239046313,2.872,340.666876125,-46.88457644444444,176.97015735214325,18.43,54.25935973955508,34.99344647989281,-12.27724670233871,-39.608156182978796,346.25649460143995,-57.69341379105397
86,* bet Hya,4.231,-0.6568581440725669,-0.066,178.22717287499998,-33.90812977777777,309.7397910731244,10.53,94.9667616334283,-78.77833671624765,2.4383115148861,-52.978430670587755,288.9654320646578,27.470106654497897
87,* bet LMi,3.931,0.5616547835539731,1.107,156.97083166458333,36.707210010555556,153.91977347805567,21.19,47.19207173194903,-34.81876236668617,14.800611725508292,28.20792998708711,186.13124701430596,57.99314803953488
88,* bet Leo,2.079,1.872058288824397,0.163,177.26490975000002,14.572058055555555,35.876801231987685,90.91,10.99989000109999,-10.63391779389502,0.5080101470448076,2.7675436906184374,249.7477825240188,70.67361440729414
89,* bet Lib,2.57,-1.199970479619855,-0.079,229.25172425,-9.382914416666667,185.10556186152098,17.62,56.75368898978434,-36.54959534052075,-42.420474921352536,-9.252653772850921,351.8034580594839,39.51055497180027
90,* bet Oct,4.066,0.7632572065322032,0.318,341.51462908375,-81.38161444027777,149.27048054919908,21.85,45.76659038901602,6.5043897804919535,-2.1744918704693554,-45.249809883851086,308.3498885207229,-34.234901657938295
91,* bet Peg,1.636,-2.258233390226474,3.061,345.94357275000004,28.08278711111111,196.00721153846152,16.64,60.09615384615384,51.43332744889214,-12.877584566657426,28.29007512121902,95.44044279385105,-29.040314371923113
92,* bet Per,2.072,-0.13026222209782823,-0.004,47.04221855625,40.95564667027778,89.92445547284255,36.27,27.570995312930794,14.189406592089462,15.238772492633215,18.072087207286966,148.77659140396028,-15.12047264405274
93,* bet Tau,1.599,-1.4676135801958112,-0.103,81.57297133333334,28.607451722222223,133.88998357963874,24.36,41.050903119868636,5.281568503827599,35.65033139555765,19.655420435165798,177.83505508834563,-4.020993370091868
94,* bet Tri,2.945,-0.004489616785697148,0.229,32.38594633333333,34.98729705555556,126.85958770906261,25.71,38.895371450797356,26.909683229631362,17.068146939171278,22.30240410447396,140.29937554689278,-25.390903664904375
95,* bet UMi,1.451,-1.5671313623174679,2.016,222.6763575,74.15550394444445,130.9337615415496,24.91,40.14452027298274,-8.058138332174842,-7.429681910875713,38.61927939864573,112.72569424145067,40.424570285148654
96,* bet02 Tuc,4.46,0.9204271107229038,0.223,7.889259602566251,-62.96559275413723,166.47152197546995,19.5923,51.04045977246163,22.97961427833183,3.1842945056578817,-45.46345928220376,306.93980341444677,-53.871963064083594
97,* c And,5.263,0.6504027642022621,0.056,34.819987198197914,47.37997589834889,272.86310664179166,11.9531,83.66030569475701,46.50613942253838,32.34667474109882,61.56231296942289,137.78746439151413,-13.091138226325867
98,* chi Dra,3.459,3.9280338780758735,0.671,275.2640939583333,72.73284772222222,26.279590685682056,124.11,8.057368463459834,0.21942552026499396,-2.381561174331263,7.694231954518361,103.45248052135905,28.023943111983822
99,* del Aql,3.279,2.323766495779555,0.477,291.374589125,3.114779472222222,50.63747865238317,64.41,15.52553951249806,5.650138100241768,-14.436296367451721,0.8436016793695567,39.446332074733846,-5.895355205779641
100,* del Aur,3.385,0.19889156240677464,1.246,89.88174341414583,54.28473796286278,141.46436672926865,23.0557,43.37322224005343,0.05225845456682547,25.31939018211725,35.215936127621205,158.8303754034835,14.439321070606734
101,* del Equ,4.366,3.031584907210322,0.681,318.6200637820833,10.006979410555555,60.29876132371971,54.09,18.48770567572564,13.661071063108817,-12.035354812183513,3.2125742179442467,60.229793810971884,-25.4908539929024
102,* del Leo,2.474,1.2079491607630615,0.243,168.52708925,20.52371813888889,58.42995342171264,55.82,17.914725904693658,-16.44239077922544,3.3371472995322917,6.280815043031321,223.66589027635186,66.60143578569745
103,* eps Cet,4.757,2.8982496678774012,0.638,39.890822553500826,-11.872097675596667,76.76715372448594,42.4864,23.53694358665361,17.672843092456937,14.771981286069876,-4.842199842500625,187.0466661378898,-60.68906791412922
104,* eps Cyg,2.128,0.3042572889693145,1.285,311.55280115351087,33.97032834364583,75.53946670557636,43.1769,23.16053259960766,12.740629833177161,-14.373948896089738,12.941260173725196,75.77162817949079,-5.615723921321507
105,* eps Sco,1.869,0.4149256477512271,1.428,252.54087838625003,-34.29323159305555,63.714788044539944,51.19,19.535065442469232,-4.842163401650947,-15.395672524435708,-11.00661178354189,348.64020172157143,6.8307345928591365
106,* eps Sgr,1.762,-1.452138711384832,0.068,276.0429933333333,-34.38461647222222,143.30228471001755,22.76,43.93673110720562,3.8172030145071947,-36.057966091937324,-24.813068791377354,359.039816129614,-9.52826924909331
107,* eps UMa,1.723,-0.29346485159276914,0.032,193.50728996750001,55.95982295694445,82.55024044545685,39.51,25.31004808909137,-13.776028121257601,-3.3091855976143596,20.97305114080875,122.48955936018636,61.04117057679854
108,* eta Boo,2.535,2.2512356256893082,0.75,208.67116216666668,18.39772072222222,37.16877492877493,87.75,11.396011396011398,-9.487671925224225,-5.1881437349504065,3.5967098524663483,5.108008969390432,73.3165324882675
109,* eta Cen,2.254,-2.6051779028776507,-0.177,218.87676733749998,-42.15782521722222,305.6757263355201,10.67,93.7207122774133,-54.08617191473311,-43.60584062095925,-62.90300931700424,322.55266864588265,16.874752386133903
110,* eta CrB A,5.44,4.323505919942054,0.726,230.8009619,30.2882117,54.54113712374582,59.8,16.722408026755854,-9.126181422833396,-11.190187522215378,8.433946055583617,47.66686629920304,56.94092379529876
111,* eta Oph,2.371,0.20672022597828565,0.115,257.59452870833337,-15.72490663888889,88.36521267949065,36.91,27.0929287455974,-5.602503958277215,-25.470052110276104,-7.342695888522542,6.562487610723487,14.291512289260858
112,* eta UMa,1.804,-0.7127353037454107,-0.177,206.88515733333332,49.31326672222222,103.93753983428935,31.38,31.86743148502231,-18.529622970750907,-9.394579422259289,24.164605096985838,101.15876350366766,65.30121221924571
113,* g Cen,3.539,-0.4612921160167711,2.229,207.36134138330627,-34.45077353097945,205.81820935456997,15.8468,63.10422293459878,-46.214981116274494,-23.916024237680194,-35.697930714043196,316.0476285323199,27.090924137002904
114,* gam Cen,2.123,-0.8820946667093441,0.044,190.37933366666667,-48.95987152777778,130.15003990422983,25.06,39.904229848363926,-25.771883118702245,-4.720417380976339,-30.09776171173506,301.02782381347686,13.99935805012572
115,* gam CrA A,4.394,3.237027732188511,0.72,286.60506118313754,-37.063275652486666,55.567367911734436,58.6956,17.03705218108342,3.885102284405504,-13.028112927831753,-10.2681741707243,0.009427904836571794,-18.45730524841544
116,* gam Cru,0.92,-1.2489914057254352,2.758,187.791498375,-57.11321344444445,88.55715449361932,36.83,27.151778441487917,-14.606787602013693,-1.9986730118348184,-22.80057312167986,299.979904348108,5.764623940087452
117,* gam Crv,2.53,-0.8352500291700062,-0.079,183.95154504166666,-17.541930444444446,153.629769194536,21.23,47.103155911446066,-44.80592892702397,-3.095060414700834,-14.197064162488847,290.55131445046084,44.57313377792067
118,* gam Dra,1.556,-1.8184750851429627,2.474,269.1515411666667,51.48889561111111,154.2838221381268,21.14,47.303689687795654,-0.43615680149382074,-29.451184020011002,37.014545588771234,79.05227536940056,29.303460385701275
119,* gam Gem,1.873,-0.7530059059968439,0.056,99.42796041666666,16.399280416666667,109.30160857908847,29.84,33.51206434316354,-5.266196395808966,31.714456646633124,9.461441310388683,196.61149106897383,4.177801310574423
120,* gam Leo,1.777,-1.2272283302089175,1.83,154.99312733333335,19.84148522222222,130.09812524930194,25.07,39.88831272437176,-34.00308611548565,15.860865309505986,13.538854392224406,216.19300370930242,54.40619577775667
121,* gam Ori,1.581,-2.8626874317046735,-0.215,81.28276354166667,6.3497032777777775,252.44272445820434,12.92,77.39938080495357,11.658547550084371,76.03595907990504,8.560101915961122,196.78431611696345,-16.226002222794648
122,* gam UMa,2.392,0.35898421150103355,0.068,178.4576971525,53.69475972916666,83.18184136699821,39.21,25.50369803621525,-15.094934672068078,0.406427587309582,20.552770552524553,141.05565257324074,61.18592071843513
123,* iot Cen,2.682,1.4251531333205336,0.091,200.14922006503963,-36.712304581225006,58.18281716321393,56.0571,17.838953495632133,-13.42533619902718,-4.926057042375052,-10.66407857143239,309.1405315253917,25.947028892724166
124,* iot Ser,4.456,0.6285864175634335,0.124,235.38772787750003,19.67039944027778,190.06759906759905,17.16,58.27505827505827,-31.169754436007832,-45.162432817022115,19.61589884273397,31.404287479476658,50.710896495078735
125,* iot01 Nor,4.606,1.629313504368611,0.34,240.88370591666666,-57.77507336111111,128.45844820795588,25.39,39.38558487593541,-10.219302670260099,-18.34818207552199,-33.31867889752864,326.1945158984592,-3.7021390411635386
126,* kap Ari,4.965,1.2448822821717167,0.223,31.641354051451668,22.648318776100833,180.90431078472702,18.0292,55.46557806225457,43.579163896344,26.853458208610146,21.358338093448936,144.48493278692135,-37.221890396772075
127,* kap Peg,4.033,1.3614010579913902,0.593,326.16139675000005,25.64503775,111.62080766598218,29.22,34.223134839151264,25.625882881814388,-17.180047767509755,14.811584771804288,78.15659903142954,-20.578128106660365
128,* kap02 Sgr,5.579,0.678733408394212,0.31,305.9715694166667,-42.42287155555555,311.5148042024833,10.47,95.51098376313276,41.41342107199645,-57.06020412436527,-64.43143394183228,358.2046899963112,-34.15980315850464
129,* ksi UMa,3.638,3.9072321342612635,0.77,169.54554950000002,31.529288899999997,28.81236749116607,113.2,8.833922261484098,-7.404797853090768,1.3663101142617917,4.61956144546997,194.83857908890934,68.9642580548924
130,* ksi02 Cet,4.252,0.3483635358119175,-0.004,37.03982107897458,8.460060224807222,196.8578171305098,16.5681,60.35695100826286,47.65370668719132,35.96159748949926,8.879711706368695,159.39950267364185,-47.63651660200149
131,* lam Hya,3.28,0.6672848966110645,1.234,152.64703575481042,-12.35412747882361,108.63465586613019,30.0232,33.30757547496603,-28.898511268764878,14.949480381951593,-7.126265977303424,252.66457542264814,34.38371673083049
